id,q,r
787,"""abc""","""def"""
788,"""abc""","""def"""
789,"""abc""","""def"""
790,"""abc""","""def"""
791,"""abc""","""def"""
820,"""abc""","""def"""
821,"""abc""","""def"""
822,"""abc""","""def"""
823,"""abc""","""def"""
824,"""abc""","""def"""
825,"""abc""","""def"""
826,"""abc""","""def"""
841,"""abc""","""def"""
842,"""abc""","""def"""
843,"""abc""","""def"""
844,"""abc""","""def"""
845,"""abc""","""def"""
846,"""abc""","""def"""
847,"""abc""","""def"""
883,"""abc""","""def"""
884,"""abc""","""def"""
885,"""abc""","""def"""
886,"""abc""","""def"""
887,"""abc""","""def"""
888,"""abc""","""def"""
889,"""abc""","""def"""
960,"""abc""","""def"""
961,"""abc""","""def"""
962,"""abc""","""def"""
963,"""abc""","""def"""
964,"""abc""","""def"""
965,"""abc""","""def"""
966,"""abc""","""def"""
1016,"""abc""","""def"""
1017,"""abc""","""def"""
1018,"""abc""","""def"""
1019,"""abc""","""def"""
1020,"""abc""","""def"""
1021,"""abc""","""def"""
1022,"""abc""","""def"""
1156,"""abc""","""def"""
1157,"""abc""","""def"""
1158,"""abc""","""def"""
1159,"""abc""","""def"""
1160,"""abc""","""def"""
1161,"""abc""","""def"""
1162,"""abc""","""def"""
1170,"""abc""","""def"""
1171,"""abc""","""def"""
1172,"""abc""","""def"""
1173,"""abc""","""def"""
1174,"""abc""","""def"""
1175,"""abc""","""def"""
1176,"""abc""","""def"""
1289,"""abc""","""def"""
1290,"""abc""","""def"""
1291,"""abc""","""def"""
1292,"""abc""","""def"""
1293,"""abc""","""def"""
1294,"""abc""","""def"""
1295,"""abc""","""def"""
1359,"""abc""","""def"""
1360,"""abc""","""def"""
1361,"""abc""","""def"""
1362,"""abc""","""def"""
1363,"""abc""","""def"""
1364,"""abc""","""def"""
1365,"""abc""","""def"""
1387,"""abc""","""def"""
1388,"""abc""","""def"""
1389,"""abc""","""def"""
1390,"""abc""","""def"""
1391,"""abc""","""def"""
1392,"""abc""","""def"""
1393,"""abc""","""def"""
1401,"""abc""","""def"""
1402,"""abc""","""def"""
1403,"""abc""","""def"""
1404,"""abc""","""def"""
1405,"""abc""","""def"""
1406,"""abc""","""def"""
1407,"""abc""","""def"""
1408,"""abc""","""def"""
1409,"""abc""","""def"""
1410,"""abc""","""def"""
1411,"""abc""","""def"""
1412,"""abc""","""def"""
1413,"""abc""","""def"""
1414,"""abc""","""def"""
1415,"""abc""","""def"""
1416,"""abc""","""def"""
1417,"""abc""","""def"""
1418,"""abc""","""def"""
1419,"""abc""","""def"""
1420,"""abc""","""def"""
1421,"""abc""","""def"""
1450,"""abc""","""def"""
1451,"""abc""","""def"""
1452,"""abc""","""def"""
1453,"""abc""","""def"""
1454,"""abc""","""def"""
1455,"""abc""","""def"""
1456,"""abc""","""def"""
1506,"""abc""","""def"""
1507,"""abc""","""def"""
1508,"""abc""","""def"""
1509,"""abc""","""def"""
1510,"""abc""","""def"""
1511,"""abc""","""def"""
1512,"""abc""","""def"""
1618,"""abc""","""def"""
1619,"""abc""","""def"""
1620,"""abc""","""def"""
1621,"""abc""","""def"""
1622,"""abc""","""def"""
1623,"""abc""","""def"""
1624,"""abc""","""def"""
1667,"""abc""","""def"""
1668,"""abc""","""def"""
1669,"""abc""","""def"""
1670,"""abc""","""def"""
1671,"""abc""","""def"""
1672,"""abc""","""def"""
1673,"""abc""","""def"""
1688,"""abc""","""def"""
1689,"""abc""","""def"""
1690,"""abc""","""def"""
1691,"""abc""","""def"""
1692,"""abc""","""def"""
1693,"""abc""","""def"""
1694,"""abc""","""def"""
1695,"""abc""","""def"""
1696,"""abc""","""def"""
1697,"""abc""","""def"""
1698,"""abc""","""def"""
1699,"""abc""","""def"""
1700,"""abc""","""def"""
1701,"""abc""","""def"""
1716,"""abc""","""def"""
1717,"""abc""","""def"""
1718,"""abc""","""def"""
1719,"""abc""","""def"""
1720,"""abc""","""def"""
1721,"""abc""","""def"""
1722,"""abc""","""def"""
1723,"""abc""","""def"""
1724,"""abc""","""def"""
1725,"""abc""","""def"""
1726,"""abc""","""def"""
1727,"""abc""","""def"""
1728,"""abc""","""def"""
1729,"""abc""","""def"""
1758,"""abc""","""def"""
1759,"""abc""","""def"""
1760,"""abc""","""def"""
1761,"""abc""","""def"""
1762,"""abc""","""def"""
1763,"""abc""","""def"""
1764,"""abc""","""def"""
1779,"""abc""","""def"""
1780,"""abc""","""def"""
1781,"""abc""","""def"""
1782,"""abc""","""def"""
1783,"""abc""","""def"""
1784,"""abc""","""def"""
1785,"""abc""","""def"""
1856,"""abc""","""def"""
1857,"""abc""","""def"""
1858,"""abc""","""def"""
1859,"""abc""","""def"""
1860,"""abc""","""def"""
1861,"""abc""","""def"""
1862,"""abc""","""def"""
1898,"""abc""","""def"""
1899,"""abc""","""def"""
1900,"""abc""","""def"""
1901,"""abc""","""def"""
1902,"""abc""","""def"""
1903,"""abc""","""def"""
1904,"""abc""","""def"""
1933,"""abc""","""def"""
1934,"""abc""","""def"""
1935,"""abc""","""def"""
1936,"""abc""","""def"""
1937,"""abc""","""def"""
1938,"""abc""","""def"""
1939,"""abc""","""def"""
1982,"""abc""","""def"""
1983,"""abc""","""def"""
1984,"""abc""","""def"""
1985,"""abc""","""def"""
1986,"""abc""","""def"""
1987,"""abc""","""def"""
1988,"""abc""","""def"""
2045,"""abc""","""def"""
2046,"""abc""","""def"""
2047,"""abc""","""def"""
2048,"""abc""","""def"""
2049,"""abc""","""def"""
2050,"""abc""","""def"""
2051,"""abc""","""def"""
2066,"""abc""","""def"""
2067,"""abc""","""def"""
2068,"""abc""","""def"""
2069,"""abc""","""def"""
2070,"""abc""","""def"""
2071,"""abc""","""def"""
2072,"""abc""","""def"""
2157,"""abc""","""def"""
2158,"""abc""","""def"""
2159,"""abc""","""def"""
2160,"""abc""","""def"""
2161,"""abc""","""def"""
2162,"""abc""","""def"""
2163,"""abc""","""def"""
2199,"""abc""","""def"""
2200,"""abc""","""def"""
2201,"""abc""","""def"""
2202,"""abc""","""def"""
2203,"""abc""","""def"""
2204,"""abc""","""def"""
2205,"""abc""","""def"""
2227,"""abc""","""def"""
2228,"""abc""","""def"""
2229,"""abc""","""def"""
2230,"""abc""","""def"""
2231,"""abc""","""def"""
2232,"""abc""","""def"""
2233,"""abc""","""def"""
2241,"""abc""","""def"""
2242,"""abc""","""def"""
2243,"""abc""","""def"""
2244,"""abc""","""def"""
2245,"""abc""","""def"""
2246,"""abc""","""def"""
2247,"""abc""","""def"""
2269,"""abc""","""def"""
2270,"""abc""","""def"""
2271,"""abc""","""def"""
2272,"""abc""","""def"""
2273,"""abc""","""def"""
2274,"""abc""","""def"""
2275,"""abc""","""def"""
2276,"""abc""","""def"""
2277,"""abc""","""def"""
2278,"""abc""","""def"""
2279,"""abc""","""def"""
2280,"""abc""","""def"""
2281,"""abc""","""def"""
2282,"""abc""","""def"""
2395,"""abc""","""def"""
2396,"""abc""","""def"""
2397,"""abc""","""def"""
2398,"""abc""","""def"""
2399,"""abc""","""def"""
2400,"""abc""","""def"""
2401,"""abc""","""def"""
2493,"""abc""","""def"""
2494,"""abc""","""def"""
2495,"""abc""","""def"""
2496,"""abc""","""def"""
2497,"""abc""","""def"""
2498,"""abc""","""def"""
2499,"""abc""","""def"""
2514,"""abc""","""def"""
2515,"""abc""","""def"""
2516,"""abc""","""def"""
2517,"""abc""","""def"""
2518,"""abc""","""def"""
2519,"""abc""","""def"""
2520,"""abc""","""def"""
2556,"""abc""","""def"""
2557,"""abc""","""def"""
2558,"""abc""","""def"""
2559,"""abc""","""def"""
2560,"""abc""","""def"""
2561,"""abc""","""def"""
2562,"""abc""","""def"""
2563,"""abc""","""def"""
2564,"""abc""","""def"""
2565,"""abc""","""def"""
2566,"""abc""","""def"""
2567,"""abc""","""def"""
2568,"""abc""","""def"""
2569,"""abc""","""def"""
2584,"""abc""","""def"""
2585,"""abc""","""def"""
2586,"""abc""","""def"""
2587,"""abc""","""def"""
2588,"""abc""","""def"""
2589,"""abc""","""def"""
2590,"""abc""","""def"""
2640,"""abc""","""def"""
2641,"""abc""","""def"""
2642,"""abc""","""def"""
2643,"""abc""","""def"""
2644,"""abc""","""def"""
2645,"""abc""","""def"""
2646,"""abc""","""def"""
2668,"""abc""","""def"""
2669,"""abc""","""def"""
2670,"""abc""","""def"""
2671,"""abc""","""def"""
2672,"""abc""","""def"""
2673,"""abc""","""def"""
2674,"""abc""","""def"""
2682,"""abc""","""def"""
2683,"""abc""","""def"""
2684,"""abc""","""def"""
2685,"""abc""","""def"""
2686,"""abc""","""def"""
2687,"""abc""","""def"""
2688,"""abc""","""def"""
2787,"""abc""","""def"""
2788,"""abc""","""def"""
2789,"""abc""","""def"""
2790,"""abc""","""def"""
2791,"""abc""","""def"""
2792,"""abc""","""def"""
2793,"""abc""","""def"""
2829,"""abc""","""def"""
2830,"""abc""","""def"""
2831,"""abc""","""def"""
2832,"""abc""","""def"""
2833,"""abc""","""def"""
2834,"""abc""","""def"""
2835,"""abc""","""def"""
2836,"""abc""","""def"""
2837,"""abc""","""def"""
2838,"""abc""","""def"""
2839,"""abc""","""def"""
2840,"""abc""","""def"""
2841,"""abc""","""def"""
2842,"""abc""","""def"""
2857,"""abc""","""def"""
2858,"""abc""","""def"""
2859,"""abc""","""def"""
2860,"""abc""","""def"""
2861,"""abc""","""def"""
2862,"""abc""","""def"""
2863,"""abc""","""def"""
2864,"""abc""","""def"""
2865,"""abc""","""def"""
2866,"""abc""","""def"""
2867,"""abc""","""def"""
2868,"""abc""","""def"""
2869,"""abc""","""def"""
2870,"""abc""","""def"""
2892,"""abc""","""def"""
2893,"""abc""","""def"""
2894,"""abc""","""def"""
2895,"""abc""","""def"""
2896,"""abc""","""def"""
2897,"""abc""","""def"""
2898,"""abc""","""def"""
2948,"""abc""","""def"""
2949,"""abc""","""def"""
2950,"""abc""","""def"""
2951,"""abc""","""def"""
2952,"""abc""","""def"""
2953,"""abc""","""def"""
2954,"""abc""","""def"""
2976,"""abc""","""def"""
2977,"""abc""","""def"""
2978,"""abc""","""def"""
2979,"""abc""","""def"""
2980,"""abc""","""def"""
2981,"""abc""","""def"""
2982,"""abc""","""def"""
3088,"""abc""","""def"""
3089,"""abc""","""def"""
3090,"""abc""","""def"""
3091,"""abc""","""def"""
3092,"""abc""","""def"""
3093,"""abc""","""def"""
3094,"""abc""","""def"""
3158,"""abc""","""def"""
3159,"""abc""","""def"""
3160,"""abc""","""def"""
3161,"""abc""","""def"""
3162,"""abc""","""def"""
3163,"""abc""","""def"""
3164,"""abc""","""def"""
3165,"""abc""","""def"""
3166,"""abc""","""def"""
3167,"""abc""","""def"""
3168,"""abc""","""def"""
3169,"""abc""","""def"""
3170,"""abc""","""def"""
3171,"""abc""","""def"""
3207,"""abc""","""def"""
3208,"""abc""","""def"""
3209,"""abc""","""def"""
3210,"""abc""","""def"""
3211,"""abc""","""def"""
3212,"""abc""","""def"""
3213,"""abc""","""def"""
3256,"""abc""","""def"""
3257,"""abc""","""def"""
3258,"""abc""","""def"""
3259,"""abc""","""def"""
3260,"""abc""","""def"""
3261,"""abc""","""def"""
3262,"""abc""","""def"""
3284,"""abc""","""def"""
3285,"""abc""","""def"""
3286,"""abc""","""def"""
3287,"""abc""","""def"""
3288,"""abc""","""def"""
3289,"""abc""","""def"""
3290,"""abc""","""def"""
3340,"""abc""","""def"""
3341,"""abc""","""def"""
3342,"""abc""","""def"""
3343,"""abc""","""def"""
3344,"""abc""","""def"""
3345,"""abc""","""def"""
3346,"""abc""","""def"""
3347,"""abc""","""def"""
3348,"""abc""","""def"""
3349,"""abc""","""def"""
3350,"""abc""","""def"""
3351,"""abc""","""def"""
3352,"""abc""","""def"""
3353,"""abc""","""def"""
3403,"""abc""","""def"""
3404,"""abc""","""def"""
3405,"""abc""","""def"""
3406,"""abc""","""def"""
3407,"""abc""","""def"""
3408,"""abc""","""def"""
3409,"""abc""","""def"""
3501,"""abc""","""def"""
3502,"""abc""","""def"""
3503,"""abc""","""def"""
3504,"""abc""","""def"""
3505,"""abc""","""def"""
3506,"""abc""","""def"""
3507,"""abc""","""def"""
3536,"""abc""","""def"""
3537,"""abc""","""def"""
3538,"""abc""","""def"""
3539,"""abc""","""def"""
3540,"""abc""","""def"""
3541,"""abc""","""def"""
3542,"""abc""","""def"""
3564,"""abc""","""def"""
3565,"""abc""","""def"""
3566,"""abc""","""def"""
3567,"""abc""","""def"""
3568,"""abc""","""def"""
3569,"""abc""","""def"""
3570,"""abc""","""def"""
3571,"""abc""","""def"""
3572,"""abc""","""def"""
3573,"""abc""","""def"""
3574,"""abc""","""def"""
3575,"""abc""","""def"""
3576,"""abc""","""def"""
3577,"""abc""","""def"""
3606,"""abc""","""def"""
3607,"""abc""","""def"""
3608,"""abc""","""def"""
3609,"""abc""","""def"""
3610,"""abc""","""def"""
3611,"""abc""","""def"""
3612,"""abc""","""def"""
3613,"""abc""","""def"""
3614,"""abc""","""def"""
3615,"""abc""","""def"""
3616,"""abc""","""def"""
3617,"""abc""","""def"""
3618,"""abc""","""def"""
3619,"""abc""","""def"""
3620,"""abc""","""def"""
3621,"""abc""","""def"""
3622,"""abc""","""def"""
3623,"""abc""","""def"""
3624,"""abc""","""def"""
3625,"""abc""","""def"""
3626,"""abc""","""def"""
3641,"""abc""","""def"""
3642,"""abc""","""def"""
3643,"""abc""","""def"""
3644,"""abc""","""def"""
3645,"""abc""","""def"""
3646,"""abc""","""def"""
3647,"""abc""","""def"""
3648,"""abc""","""def"""
3649,"""abc""","""def"""
3650,"""abc""","""def"""
3651,"""abc""","""def"""
3652,"""abc""","""def"""
3653,"""abc""","""def"""
3654,"""abc""","""def"""
3662,"""abc""","""def"""
3663,"""abc""","""def"""
3664,"""abc""","""def"""
3665,"""abc""","""def"""
3666,"""abc""","""def"""
3667,"""abc""","""def"""
3668,"""abc""","""def"""
3669,"""abc""","""def"""
3670,"""abc""","""def"""
3671,"""abc""","""def"""
3672,"""abc""","""def"""
3673,"""abc""","""def"""
3674,"""abc""","""def"""
3675,"""abc""","""def"""
3676,"""abc""","""def"""
3677,"""abc""","""def"""
3678,"""abc""","""def"""
3679,"""abc""","""def"""
3680,"""abc""","""def"""
3681,"""abc""","""def"""
3682,"""abc""","""def"""
3683,"""abc""","""def"""
3684,"""abc""","""def"""
3685,"""abc""","""def"""
3686,"""abc""","""def"""
3687,"""abc""","""def"""
3688,"""abc""","""def"""
3689,"""abc""","""def"""
3690,"""abc""","""def"""
3691,"""abc""","""def"""
3692,"""abc""","""def"""
3693,"""abc""","""def"""
3694,"""abc""","""def"""
3695,"""abc""","""def"""
3696,"""abc""","""def"""
3711,"""abc""","""def"""
3712,"""abc""","""def"""
3713,"""abc""","""def"""
3714,"""abc""","""def"""
3715,"""abc""","""def"""
3716,"""abc""","""def"""
3717,"""abc""","""def"""
3753,"""abc""","""def"""
3754,"""abc""","""def"""
3755,"""abc""","""def"""
3756,"""abc""","""def"""
3757,"""abc""","""def"""
3758,"""abc""","""def"""
3759,"""abc""","""def"""
3760,"""abc""","""def"""
3761,"""abc""","""def"""
3762,"""abc""","""def"""
3763,"""abc""","""def"""
3764,"""abc""","""def"""
3765,"""abc""","""def"""
3766,"""abc""","""def"""
3767,"""abc""","""def"""
3768,"""abc""","""def"""
3769,"""abc""","""def"""
3770,"""abc""","""def"""
3771,"""abc""","""def"""
3772,"""abc""","""def"""
3773,"""abc""","""def"""
3788,"""abc""","""def"""
3789,"""abc""","""def"""
3790,"""abc""","""def"""
3791,"""abc""","""def"""
3792,"""abc""","""def"""
3793,"""abc""","""def"""
3794,"""abc""","""def"""
3802,"""abc""","""def"""
3803,"""abc""","""def"""
3804,"""abc""","""def"""
3805,"""abc""","""def"""
3806,"""abc""","""def"""
3807,"""abc""","""def"""
3808,"""abc""","""def"""
3809,"""abc""","""def"""
3810,"""abc""","""def"""
3811,"""abc""","""def"""
3812,"""abc""","""def"""
3813,"""abc""","""def"""
3814,"""abc""","""def"""
3815,"""abc""","""def"""
3816,"""abc""","""def"""
3817,"""abc""","""def"""
3818,"""abc""","""def"""
3819,"""abc""","""def"""
3820,"""abc""","""def"""
3821,"""abc""","""def"""
3822,"""abc""","""def"""
3844,"""abc""","""def"""
3845,"""abc""","""def"""
3846,"""abc""","""def"""
3847,"""abc""","""def"""
3848,"""abc""","""def"""
3849,"""abc""","""def"""
3850,"""abc""","""def"""
3851,"""abc""","""def"""
3852,"""abc""","""def"""
3853,"""abc""","""def"""
3854,"""abc""","""def"""
3855,"""abc""","""def"""
3856,"""abc""","""def"""
3857,"""abc""","""def"""
3858,"""abc""","""def"""
3859,"""abc""","""def"""
3860,"""abc""","""def"""
3861,"""abc""","""def"""
3862,"""abc""","""def"""
3863,"""abc""","""def"""
3864,"""abc""","""def"""
3872,"""abc""","""def"""
3873,"""abc""","""def"""
3874,"""abc""","""def"""
3875,"""abc""","""def"""
3876,"""abc""","""def"""
3877,"""abc""","""def"""
3878,"""abc""","""def"""
3886,"""abc""","""def"""
3887,"""abc""","""def"""
3888,"""abc""","""def"""
3889,"""abc""","""def"""
3891,"""abc""","""def"""
3892,"""abc""","""def"""
3935,"""abc""","""def"""
3936,"""abc""","""def"""
3937,"""abc""","""def"""
3938,"""abc""","""def"""
3939,"""abc""","""def"""
3940,"""abc""","""def"""
3941,"""abc""","""def"""
3977,"""abc""","""def"""
3978,"""abc""","""def"""
3979,"""abc""","""def"""
3980,"""abc""","""def"""
3981,"""abc""","""def"""
3982,"""abc""","""def"""
3983,"""abc""","""def"""
3991,"""abc""","""def"""
3992,"""abc""","""def"""
3993,"""abc""","""def"""
3994,"""abc""","""def"""
3995,"""abc""","""def"""
3996,"""abc""","""def"""
3997,"""abc""","""def"""
4026,"""abc""","""def"""
4027,"""abc""","""def"""
4028,"""abc""","""def"""
4029,"""abc""","""def"""
4030,"""abc""","""def"""
4031,"""abc""","""def"""
4032,"""abc""","""def"""
4040,"""abc""","""def"""
4041,"""abc""","""def"""
4042,"""abc""","""def"""
4043,"""abc""","""def"""
4044,"""abc""","""def"""
4045,"""abc""","""def"""
4046,"""abc""","""def"""
4054,"""abc""","""def"""
4055,"""abc""","""def"""
4056,"""abc""","""def"""
4057,"""abc""","""def"""
4058,"""abc""","""def"""
4059,"""abc""","""def"""
4060,"""abc""","""def"""
4061,"""abc""","""def"""
4062,"""abc""","""def"""
4063,"""abc""","""def"""
4064,"""abc""","""def"""
4065,"""abc""","""def"""
4066,"""abc""","""def"""
4067,"""abc""","""def"""
4068,"""abc""","""def"""
4069,"""abc""","""def"""
4070,"""abc""","""def"""
4071,"""abc""","""def"""
4072,"""abc""","""def"""
4073,"""abc""","""def"""
4074,"""abc""","""def"""
4110,"""abc""","""def"""
4111,"""abc""","""def"""
4112,"""abc""","""def"""
4113,"""abc""","""def"""
4114,"""abc""","""def"""
4115,"""abc""","""def"""
4116,"""abc""","""def"""
4138,"""abc""","""def"""
4139,"""abc""","""def"""
4140,"""abc""","""def"""
4141,"""abc""","""def"""
4142,"""abc""","""def"""
4143,"""abc""","""def"""
4144,"""abc""","""def"""
4159,"""abc""","""def"""
4160,"""abc""","""def"""
4161,"""abc""","""def"""
4162,"""abc""","""def"""
4163,"""abc""","""def"""
4164,"""abc""","""def"""
4165,"""abc""","""def"""
4166,"""abc""","""def"""
4167,"""abc""","""def"""
4168,"""abc""","""def"""
4169,"""abc""","""def"""
4170,"""abc""","""def"""
4171,"""abc""","""def"""
4172,"""abc""","""def"""
4180,"""abc""","""def"""
4181,"""abc""","""def"""
4182,"""abc""","""def"""
4183,"""abc""","""def"""
4184,"""abc""","""def"""
4185,"""abc""","""def"""
4186,"""abc""","""def"""
4187,"""abc""","""def"""
4188,"""abc""","""def"""
4189,"""abc""","""def"""
4190,"""abc""","""def"""
4191,"""abc""","""def"""
4192,"""abc""","""def"""
4193,"""abc""","""def"""
4208,"""abc""","""def"""
4209,"""abc""","""def"""
4210,"""abc""","""def"""
4211,"""abc""","""def"""
4212,"""abc""","""def"""
4213,"""abc""","""def"""
4214,"""abc""","""def"""
4271,"""abc""","""def"""
4272,"""abc""","""def"""
4273,"""abc""","""def"""
4274,"""abc""","""def"""
4275,"""abc""","""def"""
4276,"""abc""","""def"""
4277,"""abc""","""def"""
4285,"""abc""","""def"""
4286,"""abc""","""def"""
4287,"""abc""","""def"""
4288,"""abc""","""def"""
4289,"""abc""","""def"""
4290,"""abc""","""def"""
4291,"""abc""","""def"""
4334,"""abc""","""def"""
4335,"""abc""","""def"""
4336,"""abc""","""def"""
4337,"""abc""","""def"""
4338,"""abc""","""def"""
4339,"""abc""","""def"""
4340,"""abc""","""def"""
4418,"""abc""","""def"""
4419,"""abc""","""def"""
4420,"""abc""","""def"""
4421,"""abc""","""def"""
4422,"""abc""","""def"""
4423,"""abc""","""def"""
4424,"""abc""","""def"""
4474,"""abc""","""def"""
4475,"""abc""","""def"""
4476,"""abc""","""def"""
4477,"""abc""","""def"""
4478,"""abc""","""def"""
4479,"""abc""","""def"""
4480,"""abc""","""def"""
4481,"""abc""","""def"""
4482,"""abc""","""def"""
4483,"""abc""","""def"""
4484,"""abc""","""def"""
4485,"""abc""","""def"""
4486,"""abc""","""def"""
4487,"""abc""","""def"""
4488,"""abc""","""def"""
4489,"""abc""","""def"""
4490,"""abc""","""def"""
4491,"""abc""","""def"""
4492,"""abc""","""def"""
4493,"""abc""","""def"""
4494,"""abc""","""def"""
4502,"""abc""","""def"""
4503,"""abc""","""def"""
4504,"""abc""","""def"""
4505,"""abc""","""def"""
4506,"""abc""","""def"""
4507,"""abc""","""def"""
4508,"""abc""","""def"""
4558,"""abc""","""def"""
4559,"""abc""","""def"""
4560,"""abc""","""def"""
4561,"""abc""","""def"""
4562,"""abc""","""def"""
4563,"""abc""","""def"""
4564,"""abc""","""def"""
4607,"""abc""","""def"""
4608,"""abc""","""def"""
4609,"""abc""","""def"""
4610,"""abc""","""def"""
4611,"""abc""","""def"""
4612,"""abc""","""def"""
4613,"""abc""","""def"""
4649,"""abc""","""def"""
4650,"""abc""","""def"""
4651,"""abc""","""def"""
4652,"""abc""","""def"""
4653,"""abc""","""def"""
4654,"""abc""","""def"""
4655,"""abc""","""def"""
4712,"""abc""","""def"""
4713,"""abc""","""def"""
4714,"""abc""","""def"""
4715,"""abc""","""def"""
4716,"""abc""","""def"""
4717,"""abc""","""def"""
4718,"""abc""","""def"""
4733,"""abc""","""def"""
4734,"""abc""","""def"""
4735,"""abc""","""def"""
4736,"""abc""","""def"""
4737,"""abc""","""def"""
4738,"""abc""","""def"""
4739,"""abc""","""def"""
4754,"""abc""","""def"""
4755,"""abc""","""def"""
4756,"""abc""","""def"""
4757,"""abc""","""def"""
4758,"""abc""","""def"""
4759,"""abc""","""def"""
4760,"""abc""","""def"""
4761,"""abc""","""def"""
4762,"""abc""","""def"""
4763,"""abc""","""def"""
4764,"""abc""","""def"""
4765,"""abc""","""def"""
4766,"""abc""","""def"""
4767,"""abc""","""def"""
4789,"""abc""","""def"""
4790,"""abc""","""def"""
4791,"""abc""","""def"""
4792,"""abc""","""def"""
4793,"""abc""","""def"""
4794,"""abc""","""def"""
4795,"""abc""","""def"""
4866,"""abc""","""def"""
4867,"""abc""","""def"""
4868,"""abc""","""def"""
4869,"""abc""","""def"""
4870,"""abc""","""def"""
4871,"""abc""","""def"""
